Brand Name,2023 FINAL SCORE,Price Range
Abercrombie & Fitch,83.25,2
Adidas,140,2
Aeropostale,7.5,1
AJIO,20,1
ALDI Nord,78,1
ALDI SOUTH,86,1
ALDO,35.75,2
Amazon,64.25,2
American Eagle,53.5,2
ANTA,0.25,2
Anthropologie,32.5,3
Aritzia,54.25,2
Armani,95.75,3
Asda,69.75,1
ASICS,113.25,1
ASOS,125,2
Balenciaga,126.25,3
Bally,82.75,3
Banana Republic,120.25,3
BCBGMAXAZRIA,3.25,3
Beanpole,17,2
Belle,0,2
Bershka,124.5,1
Big Bazaar - ffb,0,1
Big W,97,2
Billabong,15.75,1
Bloomingdale's,16.5,3
Bonprix,93,2
boohoo,60.75,1
Bosideng,0.25,3
Bottega Veneta,126.25,3
Brooks Sport,90.25,2
Brunello Cucinelli,34.75,3
Buckle,10,2
Burberry,95.75,3
Burlington,36,2
C&A,169,1
Calvin Klein,120.25,2
Calzedonia,156.25,2
Canada Goose,38.75,3
Carhartt,18.5,2
Carolina Herrera,39.25,3
CAROLL,11.5,2
Carrefour,58.75,1
Carter's,61.25,1
CELINE,75.5,3
celio,1.75,1
Champion,93.75,2
Chanel,26.5,3
Chico's,34.25,2
Chloé,107,3
Clarks,42.75,2
COACH,103.75,3
Columbia Sportswear,91.75,2
Converse,124.75,2
Cortefiel,51.25,2
Costco,24.25,1
Cotton On,54.75,2
Decathlon,64.5,2
Deichmann,5.5,1
Desigual,61.5,3
Dick's Sporting Goods,68.5,1
Diesel,47.25,3
Dillard's,8.25,2
Dior,73,3
Disney,55,2
DKNY,1.5,2
Dolce & Gabbana,4.25,3
Dr. Martens,88,2
Dressmann,161.25,1
DSW,17.25,1
Eddie Bauer,11.5,2
El Corte Inglés,59.5,1
Ermenegildo Zegna,81.5,3
Esprit,112,2
Express,15.25,2
Fabletics,4,1
Falabella,26.5,2
Famous Footwear,22.75,2
Fanatics,44.25,1
Fashion Nova,0.75,1
Fendi,145.5,3
Fila,37.25,2
Fjällräven,100,3
Foot Locker,23,2
Foschini,44.75,2
Fossil,39.75,3
Free People,32.5,3
Fruit of the Loom,83.75,1
Furla,11.75,3
G-Star RAW,122.5,3
Gap,120.25,1
Gerry Weber,20.25,2
Gildan,133.75,1
GU,126.5,1
Gucci,199.25,3
GUESS,77.25,2
Gymshark,67,1
H&M,177.75,1
Hanes,93.75,1
Heilan Home,0,1
Helly Hansen,76,3
HEMA,59.25,1
Hermès,69.75,3
Hollister Co.,83.25,1
Hudson's Bay,21.5,2
Hugo Boss,137,2
Intimissimi,156.25,1
Ito-Yokado,27.25,1
Jack & Jones,102,2
Jack Wolfskin,61.5,2
JD Sports,73.5,2
Jil Sander,44.25,3
Jockey,5,1
Joe Fresh,44.5,1
John Lewis,80,3
Jordan,124.75,1
K-Way,0,3
Kate Spade,101.75,3
Kathmandu,72.25,1
Kaufland,29,1
Kiabi,40.25,1
KiK,41.5,2
Kmart,16,1
Kmart Australia,191,1
Kohl's,41.75,1
KOOVS,0,1
La Redoute,31.5,1
Lacoste,93.75,2
Lands' End,31,1
LC Waikiki,9,1
Levi Strauss & Co,151,2
Li-Ning,21.5,2
Lidl,62.5,1
Lindex,108.75,1
LL Bean,21,1
Longchamp,6,3
Louis Vuitton,72,3
Lululemon,129.75,2
Macy's,16.5,2
Mammut,86.25,2
Mango,122,2
Marc Jacobs,71,3
Marks & Spencer,95.25,1
Marni,42.25,1
Massimo Dutti,124.5,2
Matalan,73.5,1
Max,2.25,1
Max Mara,0.75,1
Merrell,20.25,2
Metersbonwe,0,1
Mexx,0,1
Michael Kors,58.5,3
Miu Miu,85.5,3
Mizuno,44.75,2
Moncler,66.5,3
Monoprix,44,2
Morrisons,72,1
MRP,26.75,1
Muji,70.25,2
New Balance,113.75,2
New Look,105,2
New Yorker,0.75,1
Next,90.5,1
Nike,124.75,2
Nine West,1.5,1
Nordstrom,65.25,1
Old Navy,120.25,1
Otto,49.25,1
OVS,207.5,1
Paris,61.75,2
Patagonia,99.5,2
Pepe Jeans,6,1
Pimkie,45.5,2
Prada,85.5,3
PrettyLittleThing,60.75,2
Primark,99.25,1
Prisma,56,1
Pull&Bear,124.5,1
Puma,166,1
Quiksilver,15.75,2
Ralph Lauren,134.75,3
Reebok,3,1
REI,53.75,2
Reliance Trends,25.25,1
Reserved,49.5,1
REVOLVE,4.25,1
River Island,78.75,1
Romwe,6.5,1
Ross Dress for Less,15.25,1
Roxy,15.75,1
Russell Athletic,83.75,2
s.Oliver,106.5,2
Sainsbury's,126.5,1
SAINT LAURENT,126.25,3
Saks Fifth Avenue,23.5,3
Salvatore Ferragamo,60,3
Sandro,54.25,3
Savage X Fenty,0,1
Semir,0,1
SHEIN,16.5,2
Shimamura,10,1
Skechers,16.25,2
Speedo,117.75,2
Splash,1,1
Sports Direct,17.5,2
Steve Madden,32.5,2
Stradivarius,124.5,2
Superdry,121.5,1
Takko,17.75,1
Target,93,1
Target Australia,191,1
Tchibo,107,1
Ted Baker,64.5,3
Tesco,119.75,1
Tezenis,156.25,1
The Children's Place,42.25,1
The North Face,163.75,2
The Warehouse,42.75,2
Timberland,163.75,2
TJ Maxx,32.75,2
Tod's,22.25,3
Tom Ford,0.5,1
Tom Tailor,125.5,2
Tommy Bahama,24,2
Tommy Hilfiger,123.75,1
TOPVALU COLLECTION,32.75,2
Tory Burch,1.25,1
Triumph,18,3
Truworths,18.5,1
UGG,141.75,3
Under Armour,69.25,2
Uniqlo,126.5,1
United Arrows,41.5,3
United Colors of Benetton,182.5,1
Urban Outfitters,32.5,2
Valentino,43.75,3
Van Heusen,0,1
Vans,162.75,1
Vero Moda,102,2
Versace,58.75,3
Very,67.25,1
Victoria's Secret,47.25,2
Walmart,57,1
Woolworths South Africa,73.5,1
Wrangler,82.25,2
Youngor,0,1
Zalando,99.75,2
Zara,124.5,2
Zeeman,134.5,1
,65.188,